Incident_Type,Statute_Type,Block_Address,Occurred_Datetime,Statute_Description
Theft Misdemeanor (Under $950),Penal Code,1100   8TH ST,2024-08-30 14:37:00,PETTY THEFT (ALL OTHER)
Vehicle Stolen,Vehicle Code,1200 7TH ST,2024-07-07 09:23:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Theft from Auto,Penal Code,1200   7TH ST,2024-03-23 18:20:00,GRAND THEFT VEHICLE PARTS
Vandalism,Vehicle Code,1100 8TH ST,2023-10-17 19:50:00,Tamper with vehicle
Disturbance,Penal Code,900 HARRISON ST,2023-01-26 23:42:00,THREATEN CRIME W/INTENT TO TERRORIZE
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2025-04-06 03:30:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2025-03-09 04:30:00,PETTY THEFT (ALL OTHER)
Theft Felony (over $950),Penal Code,1800 SOLANO AVE,2025-02-21 21:49:00,GRAND THEFT SHOPLIFTING
Robbery,Penal Code,1800 SOLANO AVE,2025-02-15 21:10:00,ROBBERY
Robbery,Penal Code,1800 SOLANO AVE,2025-02-15 21:10:00,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH
Robbery,Penal Code,1800 SOLANO AVE,2025-02-15 21:10:00,RECEIVE/ETC KNOWN STOLEN PROPERTY
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2025-02-14 20:29:00,SHOPLIFTING (LESS THAN $950)
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2025-02-13 20:00:00,SHOPLIFTING (LESS THAN $950)
Burglary Auto,Penal Code,1800 SOLANO AVE,2025-01-31 20:10:00,BURGLARY OF AUTO
Assault/Battery Misdemeanor,Penal Code,1800 SOLANO AVE,2025-01-11 09:15:00,DISCHARGE BB DEVICE IN GROSSLY NEGLIGENT MANNER
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2025-01-10 23:00:00,SHOPLIFTING (LESS THAN $950)
